epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1983.14,0.73678,0.58611,1.04811,0.83341,0.78127,0.83655,0.60338,1.06235,0.78393,1.16062,0.000189757,0.000189757,0.000189757
119,2000.44,0.74095,0.57656,1.04175,0.87886,0.75032,0.84045,0.60438,1.06662,0.7614,1.1664,0.00018426,0.00018426,0.00018426
120,2018.08,0.73697,0.57315,1.04149,0.86139,0.75331,0.83374,0.60295,1.07239,0.76556,1.1656,0.000178762,0.000178762,0.000178762
121,2034.28,0.73828,0.57684,1.04049,0.87923,0.74628,0.83465,0.5979,1.06466,0.75734,1.16289,0.000173264,0.000173264,0.000173264
122,2051.34,0.72462,0.5732,1.03782,0.85993,0.75214,0.83148,0.59898,1.06193,0.75989,1.15582,0.000167766,0.000167766,0.000167766
123,2068.09,0.72429,0.57358,1.03907,0.85424,0.7539,0.83145,0.59435,1.05993,0.77032,1.16018,0.000162268,0.000162268,0.000162268
124,2085.04,0.72848,0.56764,1.03975,0.80233,0.79735,0.82922,0.589,1.06623,0.75543,1.16781,0.000156771,0.000156771,0.000156771
125,2101.79,0.72583,0.56941,1.03973,0.85908,0.74809,0.83194,0.59519,1.06029,0.76549,1.16421,0.000151273,0.000151273,0.000151273
126,2118.59,0.72817,0.56271,1.03587,0.8868,0.7495,0.83057,0.59125,1.06125,0.77114,1.17064,0.000145775,0.000145775,0.000145775
127,2135.65,0.72461,0.5613,1.03892,0.88525,0.74598,0.83576,0.59542,1.04635,0.76773,1.15369,0.000140277,0.000140277,0.000140277
128,2152.33,0.71221,0.55474,1.03296,0.89016,0.73879,0.83199,0.59986,1.04911,0.76583,1.15002,0.000134779,0.000134779,0.000134779
129,2169.19,0.71985,0.55722,1.03432,0.87939,0.75265,0.83224,0.59764,1.05264,0.75624,1.15159,0.000129282,0.000129282,0.000129282
