                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.91106,                0.85919,                 1.1493,                0.83313,                0.73626,                0.80157,                0.56117,                 1.1181,                0.83667,                 1.1177,               0.003202,               0.003202,               0.003202
                    105,                0.90374,                0.84915,                 1.1485,                 0.8177,                0.74251,                0.79967,                0.56186,                 1.1157,                0.84018,                  1.116,               0.003136,               0.003136,               0.003136
                    106,                0.90222,                0.84963,                 1.1463,                0.84253,                0.73614,                0.80478,                0.56611,                 1.1132,                0.83069,                 1.1135,                0.00307,                0.00307,                0.00307
                    107,                0.91125,                 0.8526,                 1.1489,                0.85022,                0.74775,                0.80966,                 0.5683,                 1.1141,                0.82602,                 1.1136,               0.003004,               0.003004,               0.003004
                    108,                0.89986,                0.84638,                 1.1446,                0.82773,                0.75523,                0.80642,                0.56583,                 1.1183,                0.83063,                 1.1172,               0.002938,               0.002938,               0.002938
                    109,                 0.8947,                0.83336,                 1.1418,                 0.8234,                0.74999,                0.80362,                0.56408,                 1.1212,                0.83574,                 1.1197,               0.002872,               0.002872,               0.002872
                    110,                0.89332,                0.84062,                 1.1406,                0.81833,                0.75277,                0.80612,                0.56442,                 1.1201,                0.83588,                  1.119,               0.002806,               0.002806,               0.002806
                    111,                0.88964,                0.82281,                  1.143,                 0.8212,                0.75248,                0.80536,                0.56493,                 1.1144,                0.83192,                 1.1174,                0.00274,                0.00274,                0.00274
                    112,                0.88716,                0.81959,                 1.1349,                0.82592,                0.74853,                0.80504,                0.56604,                 1.1129,                  0.829,                 1.1168,               0.002674,               0.002674,               0.002674
                    113,                0.88621,                0.82438,                 1.1361,                0.82427,                0.74734,                0.80443,                0.56596,                 1.1137,                0.82531,                 1.1178,               0.002608,               0.002608,               0.002608
                    114,                0.88725,                0.82334,                 1.1375,                0.82483,                0.74569,                0.80585,                0.56561,                 1.1177,                0.83122,                 1.1218,               0.002542,               0.002542,               0.002542
                    115,                0.88108,                0.82077,                 1.1328,                0.82911,                0.74183,                0.80415,                0.56261,                  1.118,                0.83178,                 1.1216,               0.002476,               0.002476,               0.002476
                    116,                0.87278,                 0.8129,                  1.134,                0.83414,                0.74284,                0.80393,                0.56433,                 1.1197,                0.83104,                 1.1233,                0.00241,                0.00241,                0.00241
                    117,                0.87447,                0.81415,                 1.1293,                0.81977,                0.75126,                0.80012,                0.56308,                 1.1203,                0.83188,                  1.125,               0.002344,               0.002344,               0.002344
                    118,                 0.8703,                0.79588,                 1.1275,                0.81726,                0.74757,                0.79999,                0.56315,                 1.1207,                0.83242,                  1.126,               0.002278,               0.002278,               0.002278
                    119,                0.86739,                0.79745,                 1.1312,                0.81465,                0.75063,                0.79972,                0.56294,                  1.121,                0.83255,                 1.1278,               0.002212,               0.002212,               0.002212
                    120,                0.86743,                 0.8089,                 1.1284,                0.82018,                0.74633,                0.80002,                0.56231,                 1.1237,                0.83306,                 1.1303,               0.002146,               0.002146,               0.002146
                    121,                0.86596,                0.78681,                 1.1272,                0.82338,                0.74606,                0.80124,                0.56415,                 1.1214,                 0.8295,                  1.129,                0.00208,                0.00208,                0.00208
                    122,                0.86339,                0.79517,                 1.1238,                0.80424,                0.75854,                0.80202,                0.56401,                 1.1219,                0.82956,                 1.1296,               0.002014,               0.002014,               0.002014
                    123,                0.85973,                0.78896,                 1.1239,                 0.8164,                0.74611,                0.80109,                0.56279,                 1.1192,                0.82583,                 1.1281,               0.001948,               0.001948,               0.001948
                    124,                0.86285,                 0.7993,                 1.1278,                0.81981,                0.74969,                0.80249,                0.56171,                 1.1182,                0.82543,                  1.127,               0.001882,               0.001882,               0.001882
                    125,                0.85137,                0.77661,                 1.1208,                 0.8169,                0.75252,                0.80458,                0.56192,                 1.1192,                0.82488,                 1.1274,               0.001816,               0.001816,               0.001816
                    126,                0.84741,                0.76671,                 1.1159,                0.82197,                0.75015,                0.80511,                0.56235,                 1.1179,                 0.8246,                 1.1256,                0.00175,                0.00175,                0.00175
                    127,                0.84637,                0.77673,                 1.1154,                0.81967,                0.74619,                0.80612,                0.56336,                 1.1201,                0.82203,                 1.1263,               0.001684,               0.001684,               0.001684
                    128,                0.84937,                0.77171,                  1.122,                0.82086,                0.74696,                0.80584,                0.56451,                 1.1205,                0.81819,                 1.1263,               0.001618,               0.001618,               0.001618
                    129,                0.84745,                0.76873,                 1.1193,                0.82211,                0.75166,                0.80706,                0.56604,                 1.1197,                0.81824,                 1.1262,               0.001552,               0.001552,               0.001552
